city_id,city_name,city_no,weather,humidity,temperature,wind,winp,hour,month,date
101010100,北京,beijing,晴,66%,29,西风,1级,21,08,2017-08-06
101010100,北京,beijing,晴,60%,28,西北风,2级,23,08,2017-08-06
101010100,北京,beijing,晴,67%,26,北风,0级,1,08,2017-08-07
101010100,北京,beijing,晴,67%,24,东北风,1级,2,08,2017-08-07
101010100,北京,beijing,晴,45%,27,北风,2级,4,08,2017-08-07
101010100,北京,beijing,多云,49%,28,东风,2级,6,08,2017-08-07
101010100,北京,beijing,多云,38%,30,北风,2级,8,08,2017-08-07
101010100,北京,beijing,多云,36%,32,北风,2级,9,08,2017-08-07
101010100,北京,beijing,多云,35%,32,东北风,2级,10,08,2017-08-07
101010100,北京,beijing,多云,34%,32,北风,2级,10,08,2017-08-07
101010100,北京,beijing,多云,33%,33,东北风,3级,11,08,2017-08-07
101010100,北京,beijing,多云,32%,33,北风,3级,12,08,2017-08-07
101010100,北京,beijing,多云,31%,34,北风,3级,13,08,2017-08-07
101010100,北京,beijing,多云,74%,25,东南风,1级,9,08,2017-08-09
101010100,北京,beijing,多云,66%,27,南风,1级,10,08,2017-08-09
101010100,北京,beijing,多云,60%,27,西北风,1级,11,08,2017-08-09
101010100,北京,beijing,多云,62%,28,西风,2级,12,08,2017-08-09
101010100,北京,beijing,多云,59%,29,西南风,3级,13,08,2017-08-09
101010100,北京,beijing,多云,54%,30,东南风,2级,14,08,2017-08-09
101010100,北京,beijing,多云,54%,30,南风,2级,15,08,2017-08-09
101010100,北京,beijing,多云,60%,29,南风,2级,16,08,2017-08-09
101010100,北京,beijing,多云,63%,29,西南风,2级,17,08,2017-08-09
101010100,北京,beijing,多云,67%,28,南风,2级,18,08,2017-08-09
101010100,北京,beijing,多云,73%,27,南风,2级,19,08,2017-08-09
101010100,北京,beijing,晴,77%,26,西南风,1级,21,08,2017-08-09
101010100,北京,beijing,阴,80%,26,西风,1级,23,08,2017-08-09
101010100,北京,beijing,阴,83%,25,西南风,1级,0,08,2017-08-10
101010100,北京,beijing,阴,85%,24,东北风,1级,2,08,2017-08-10
101010100,北京,beijing,阴,88%,24,东北风,1级,4,08,2017-08-10
101010100,北京,beijing,多云,88%,24,东风,1级,6,08,2017-08-10
101010100,北京,beijing,多云,81%,25,东风,2级,7,08,2017-08-10
101010100,北京,beijing,多云,78%,26,东风,1级,8,08,2017-08-10
101010100,北京,beijing,多云,72%,27,东南风,1级,9,08,2017-08-10
101010100,北京,beijing,多云,68%,28,南风,1级,10,08,2017-08-10
101010100,北京,beijing,多云,69%,29,西南风,2级,11,08,2017-08-10
101010100,北京,beijing,多云,65%,30,西南风,1级,12,08,2017-08-10
101010100,北京,beijing,多云,62%,30,西南风,3级,13,08,2017-08-10
101010100,北京,beijing,多云,59%,31,南风,3级,14,08,2017-08-10
101010100,北京,beijing,多云,60%,31,南风,3级,15,08,2017-08-10
101010100,北京,beijing,多云,62%,31,南风,2级,16,08,2017-08-10
101010100,北京,beijing,多云,63%,30,南风,2级,17,08,2017-08-10
101010100,北京,beijing,多云,64%,30,南风,2级,18,08,2017-08-10
101010100,北京,beijing,多云,66%,29,南风,2级,19,08,2017-08-10
101010100,北京,beijing,多云,68%,29,西南风,2级,21,08,2017-08-10
101010100,北京,beijing,多云,70%,29,西南风,1级,23,08,2017-08-10
101010100,北京,beijing,多云,73%,28,南风,2级,0,08,2017-08-11
101010100,北京,beijing,多云,80%,27,西南风,2级,2,08,2017-08-11
101010100,北京,beijing,多云,86%,26,东风,1级,4,08,2017-08-11
101010100,北京,beijing,多云,84%,26,东风,2级,6,08,2017-08-11
101010100,北京,beijing,多云,81%,27,东风,1级,7,08,2017-08-11
101010100,北京,beijing,多云,80%,27,东风,1级,8,08,2017-08-11
101010100,北京,beijing,多云,79%,28,东北风,2级,9,08,2017-08-11
101010100,北京,beijing,多云,77%,28,南风,1级,10,08,2017-08-11
101010100,北京,beijing,多云,78%,28,西北风,2级,11,08,2017-08-11
101010100,北京,beijing,阴,84%,26,东风,3级,12,08,2017-08-11
101010100,北京,beijing,阵雨,68%,25,西风,2级,13,08,2017-08-11
101010100,北京,beijing,多云,60%,28,西南风,2级,14,08,2017-08-11
101010100,北京,beijing,多云,55%,30,西风,2级,15,08,2017-08-11
101010100,北京,beijing,多云,64%,30,西南风,2级,16,08,2017-08-11
101010100,北京,beijing,多云,66%,30,西风,1级,17,08,2017-08-11
101010100,北京,beijing,多云,68%,29,东风,1级,18,08,2017-08-11
101010100,北京,beijing,阵雨,85%,27,北风,1级,19,08,2017-08-11
101010100,北京,beijing,阴,92%,23,东北风,2级,21,08,2017-08-11
101010100,北京,beijing,阵雨,88%,22,东风,3级,23,08,2017-08-11
101010100,北京,beijing,阵雨,92%,22,东风,2级,0,08,2017-08-12
101010100,北京,beijing,阵雨,91%,22,东北风,2级,2,08,2017-08-12
101010100,北京,beijing,阵雨,91%,22,北风,1级,4,08,2017-08-12
101010100,北京,beijing,多云,87%,22,东北风,2级,6,08,2017-08-12
101010100,北京,beijing,阴,86%,22,东北风,1级,7,08,2017-08-12
