month,date,city_name,max_num,min_num
1,2018-01-15,昆明,16,5
1,2018-01-15,济南,7,-1
1,2018-01-15,西安,2,-3
1,2018-01-15,贵阳,7,4
1,2018-01-15,运城,2,-4
1,2018-01-15,郑州,7,-2
1,2018-01-15,重庆,9,5
1,2018-01-16,北京,4,-2
1,2018-01-16,呼和浩特,-4,-15
1,2018-01-16,恩施,8,5
1,2018-01-16,成都,18,2
1,2018-01-16,昆明,16,4
1,2018-01-16,济南,5,0
1,2018-01-16,西安,6,-3
1,2018-01-16,贵阳,11,3
1,2018-01-16,运城,6,-4
1,2018-01-16,郑州,6,-1
1,2018-01-16,重庆,11,7
1,2018-01-17,北京,7,-4
1,2018-01-17,呼和浩特,-3,-13
1,2018-01-17,恩施,12,6
1,2018-01-17,成都,13,1
1,2018-01-17,昆明,18,5
1,2018-01-17,济南,7,0
1,2018-01-17,西安,8,-1
1,2018-01-17,贵阳,12,2
1,2018-01-17,运城,6,-3
1,2018-01-17,郑州,11,-2
1,2018-01-17,重庆,10,5
1,2018-01-18,北京,4,-6
1,2018-01-18,呼和浩特,-2,-16
1,2018-01-18,恩施,8,7
1,2018-01-18,成都,11,1
1,2018-01-18,昆明,16,4
1,2018-01-18,济南,7,0
1,2018-01-18,西安,5,0
1,2018-01-18,贵阳,9,5
1,2018-01-18,运城,7,-3
1,2018-01-18,郑州,6,0
1,2018-01-18,重庆,9,8
1,2018-01-19,北京,8,-6
1,2018-01-19,呼和浩特,-1,-15
1,2018-01-19,恩施,9,6
1,2018-01-19,成都,16,3
1,2018-01-19,昆明,18,4
1,2018-01-19,济南,9,2
1,2018-01-19,西安,10,-1
1,2018-01-19,贵阳,6,4
1,2018-01-19,运城,9,-3
1,2018-01-19,郑州,14,0
1,2018-01-19,重庆,12,9
1,2018-01-20,北京,2,-6
1,2018-01-20,呼和浩特,-1,-13
1,2018-01-20,恩施,10,7
1,2018-01-20,成都,13,5
1,2018-01-20,昆明,18,3
1,2018-01-20,济南,10,0
1,2018-01-20,西安,10,-1
1,2018-01-20,贵阳,6,4
1,2018-01-20,运城,7,-3
1,2018-01-20,郑州,12,-2
1,2018-01-20,重庆,10,9
1,2018-01-21,北京,-2,-4
1,2018-01-21,呼和浩特,-4,-13
1,2018-01-21,恩施,9,6
1,2018-01-21,成都,16,3
1,2018-01-21,昆明,17,4
1,2018-01-21,济南,5,0
1,2018-01-21,西安,9,0
1,2018-01-21,贵阳,9,4
1,2018-01-21,运城,8,-1
1,2018-01-21,郑州,4,0
1,2018-01-21,重庆,13,8
1,2018-01-22,北京,-3,-8
1,2018-01-22,呼和浩特,-13,-22
1,2018-01-22,恩施,10,5
1,2018-01-22,成都,12,8
1,2018-01-22,昆明,18,1
1,2018-01-22,济南,0,-6
1,2018-01-22,西安,10,-1
1,2018-01-22,贵阳,10,6
1,2018-01-22,运城,9,-2
1,2018-01-22,郑州,2,0
1,2018-01-22,重庆,11,6
1,2018-01-23,北京,-4,-12
1,2018-01-23,呼和浩特,-15,-25
1,2018-01-23,恩施,9,7
1,2018-01-23,成都,13,8
1,2018-01-23,昆明,18,4
1,2018-01-23,济南,-3,-9
1,2018-01-23,西安,2,0
1,2018-01-23,贵阳,14,8
1,2018-01-23,运城,3,-3
1,2018-01-23,郑州,1,-3
1,2018-01-23,重庆,12,9
1,2018-01-24,北京,-2,-11
1,2018-01-24,呼和浩特,-10,-22
1,2018-01-24,恩施,8,2
1,2018-01-24,成都,10,6
1,2018-01-24,昆明,20,5
1,2018-01-24,济南,1,-10
1,2018-01-24,西安,0,-3
1,2018-01-24,贵阳,17,11
1,2018-01-24,运城,0,-5
1,2018-01-24,郑州,0,-3
1,2018-01-24,重庆,11,8
1,2018-01-25,北京,-4,-10
1,2018-01-25,呼和浩特,-8,-16
1,2018-01-25,恩施,3,2
1,2018-01-25,成都,9,4
1,2018-01-25,昆明,19,3
1,2018-01-25,济南,-1,-7
1,2018-01-25,西安,-4,-5
1,2018-01-25,贵阳,14,0
1,2018-01-25,运城,-2,-6
1,2018-01-25,郑州,-1,-3
1,2018-01-25,重庆,8,4
1,2018-01-26,北京,-4,-11
1,2018-01-26,呼和浩特,-6,-16
1,2018-01-26,恩施,2,0
1,2018-01-26,成都,6,1
1,2018-01-26,昆明,18,6
1,2018-01-26,济南,-2,-9
1,2018-01-26,西安,-3,-7
1,2018-01-26,贵阳,0,-3
1,2018-01-26,运城,0,-7
